id,version,synthetic,created_at,updated_at,customer_id,vehicle_id,quote_id,contract_id,technician_id,bay_id,description,due_at,opened_at,completed_at,inspection,authorization_ref,qc_ref,block_reason,status
WO-H032,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-008,V-008,Q-H032,,T-004,B-004,Servicio histórico sintético,2026-09-04T12:00:00Z,2026-09-03T22:00:00Z,2026-09-04T12:00:00Z,Inspección histórica sintética,AUTH-H032,QC-H032,,delivered
WO-H033,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-009,Q-H033,CT-001,T-001,B-001,Servicio histórico sintético,2026-09-04T01:00:00Z,2026-09-03T09:00:00Z,2026-09-04T01:00:00Z,Inspección histórica sintética,AUTH-H033,QC-H033,,delivered
WO-H034,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-010,Q-H034,CT-001,T-002,B-002,Servicio histórico sintético,2026-09-03T14:00:00Z,2026-09-02T20:00:00Z,2026-09-03T14:00:00Z,Inspección histórica sintética,AUTH-H034,QC-H034,,delivered
WO-H035,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-011,Q-H035,CT-002,T-003,B-003,Servicio histórico sintético,2026-09-02T13:00:00Z,2026-09-02T07:00:00Z,2026-09-02T13:00:00Z,Inspección histórica sintética,AUTH-H035,QC-H035,,delivered
WO-H036,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-012,Q-H036,CT-002,T-004,B-004,Servicio histórico sintético,2026-09-04T00:00:00Z,2026-09-01T18:00:00Z,2026-09-04T00:00:00Z,Inspección histórica sintética,AUTH-H036,QC-H036,,delivered
WO-H037,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-001,V-001,Q-H037,,T-001,B-001,Servicio histórico sintético,2026-09-01T15:00:00Z,2026-09-01T05:00:00Z,2026-09-01T15:00:00Z,Inspección histórica sintética,AUTH-H037,QC-H037,,delivered
WO-H038,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-002,V-002,Q-H038,,T-002,B-002,Servicio histórico sintético,2026-09-01T04:00:00Z,2026-08-31T16:00:00Z,2026-09-01T04:00:00Z,Inspección histórica sintética,AUTH-H038,QC-H038,,delivered
WO-H039,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-003,V-003,Q-H039,,T-003,B-003,Servicio histórico sintético,2026-08-31T17:00:00Z,2026-08-31T03:00:00Z,2026-08-31T17:00:00Z,Inspección histórica sintética,AUTH-H039,QC-H039,,delivered
WO-H040,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-004,V-004,Q-H040,,T-004,B-004,Servicio histórico sintético,2026-08-31T06:00:00Z,2026-08-30T14:00:00Z,2026-08-31T06:00:00Z,Inspección histórica sintética,AUTH-H040,QC-H040,,delivered
WO-H041,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-005,V-005,Q-H041,,T-001,B-001,Servicio histórico sintético,2026-08-30T19:00:00Z,2026-08-30T01:00:00Z,2026-08-30T19:00:00Z,Inspección histórica sintética,AUTH-H041,QC-H041,,delivered
WO-H042,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-006,V-006,Q-H042,,T-002,B-002,Servicio histórico sintético,2026-08-29T18:00:00Z,2026-08-29T12:00:00Z,2026-08-29T18:00:00Z,Inspección histórica sintética,AUTH-H042,QC-H042,,delivered
WO-H043,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-007,V-007,Q-H043,,T-003,B-003,Servicio histórico sintético,2026-08-29T07:00:00Z,2026-08-28T23:00:00Z,2026-08-29T07:00:00Z,Inspección histórica sintética,AUTH-H043,QC-H043,,delivered
WO-H044,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-008,V-008,Q-H044,,T-004,B-004,Servicio histórico sintético,2026-08-28T20:00:00Z,2026-08-28T10:00:00Z,2026-08-28T20:00:00Z,Inspección histórica sintética,AUTH-H044,QC-H044,,delivered
WO-H045,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-009,Q-H045,CT-001,T-001,B-001,Servicio histórico sintético,2026-08-30T12:00:00Z,2026-08-27T21:00:00Z,2026-08-30T12:00:00Z,Inspección histórica sintética,AUTH-H045,QC-H045,,delivered
WO-H046,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-010,Q-H046,CT-001,T-002,B-002,Servicio histórico sintético,2026-08-27T22:00:00Z,2026-08-27T08:00:00Z,2026-08-27T22:00:00Z,Inspección histórica sintética,AUTH-H046,QC-H046,,delivered
WO-H047,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-011,Q-H047,CT-002,T-003,B-003,Servicio histórico sintético,2026-08-27T11:00:00Z,2026-08-26T19:00:00Z,2026-08-27T11:00:00Z,Inspección histórica sintética,AUTH-H047,QC-H047,,delivered
WO-H048,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-012,Q-H048,CT-002,T-004,B-004,Servicio histórico sintético,2026-08-27T00:00:00Z,2026-08-26T06:00:00Z,2026-08-27T00:00:00Z,Inspección histórica sintética,AUTH-H048,QC-H048,,delivered
WO-H049,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-001,V-001,Q-H049,,T-001,B-001,Servicio histórico sintético,2026-08-25T23:00:00Z,2026-08-25T17:00:00Z,2026-08-25T23:00:00Z,Inspección histórica sintética,AUTH-H049,QC-H049,,delivered
WO-H050,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-002,V-002,Q-H050,,T-002,B-002,Servicio histórico sintético,2026-08-25T12:00:00Z,2026-08-25T04:00:00Z,2026-08-25T12:00:00Z,Inspección histórica sintética,AUTH-H050,QC-H050,,delivered
WO-H051,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-003,V-003,Q-H051,,T-003,B-003,Servicio histórico sintético,2026-08-25T01:00:00Z,2026-08-24T15:00:00Z,2026-08-25T01:00:00Z,Inspección histórica sintética,AUTH-H051,QC-H051,,delivered
WO-H052,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-004,V-004,Q-H052,,T-004,B-004,Servicio histórico sintético,2026-08-24T14:00:00Z,2026-08-24T02:00:00Z,2026-08-24T14:00:00Z,Inspección histórica sintética,AUTH-H052,QC-H052,,delivered
WO-H053,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-005,V-005,Q-H053,,T-001,B-001,Servicio histórico sintético,2026-08-24T03:00:00Z,2026-08-23T13:00:00Z,2026-08-24T03:00:00Z,Inspección histórica sintética,AUTH-H053,QC-H053,,delivered
WO-H054,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-006,V-006,Q-H054,,T-002,B-002,Servicio histórico sintético,2026-08-25T12:00:00Z,2026-08-23T00:00:00Z,2026-08-25T12:00:00Z,Inspección histórica sintética,AUTH-H054,QC-H054,,delivered
WO-H055,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-007,V-007,Q-H055,,T-003,B-003,Servicio histórico sintético,2026-08-23T05:00:00Z,2026-08-22T11:00:00Z,2026-08-23T05:00:00Z,Inspección histórica sintética,AUTH-H055,QC-H055,,delivered
WO-H056,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-008,V-008,Q-H056,,T-004,B-004,Servicio histórico sintético,2026-08-22T04:00:00Z,2026-08-21T22:00:00Z,2026-08-22T04:00:00Z,Inspección histórica sintética,AUTH-H056,QC-H056,,delivered
WO-H057,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-009,Q-H057,CT-001,T-001,B-001,Servicio histórico sintético,2026-08-21T17:00:00Z,2026-08-21T09:00:00Z,2026-08-21T17:00:00Z,Inspección histórica sintética,AUTH-H057,QC-H057,,delivered
WO-H058,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-010,Q-H058,CT-001,T-002,B-002,Servicio histórico sintético,2026-08-21T06:00:00Z,2026-08-20T20:00:00Z,2026-08-21T06:00:00Z,Inspección histórica sintética,AUTH-H058,QC-H058,,delivered
WO-H059,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-011,Q-H059,CT-002,T-003,B-003,Servicio histórico sintético,2026-08-20T19:00:00Z,2026-08-20T07:00:00Z,2026-08-20T19:00:00Z,Inspección histórica sintética,AUTH-H059,QC-H059,,delivered
WO-H060,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-012,Q-H060,CT-002,T-004,B-004,Servicio histórico sintético,2026-08-20T08:00:00Z,2026-08-19T18:00:00Z,2026-08-20T08:00:00Z,Inspección histórica sintética,AUTH-H060,QC-H060,,delivered
WO-H061,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-001,V-001,Q-H061,,T-001,B-001,Servicio histórico sintético,2026-08-19T21:00:00Z,2026-08-19T05:00:00Z,2026-08-19T21:00:00Z,Inspección histórica sintética,AUTH-H061,QC-H061,,delivered
WO-H062,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-002,V-002,Q-H062,,T-002,B-002,Servicio histórico sintético,2026-08-19T10:00:00Z,2026-08-18T16:00:00Z,2026-08-19T10:00:00Z,Inspección histórica sintética,AUTH-H062,QC-H062,,delivered
WO-H063,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-003,V-003,Q-H063,,T-003,B-003,Servicio histórico sintético,2026-08-20T12:00:00Z,2026-08-18T03:00:00Z,2026-08-20T12:00:00Z,Inspección histórica sintética,AUTH-H063,QC-H063,,delivered
WO-H064,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-004,V-004,Q-H064,,T-004,B-004,Servicio histórico sintético,2026-08-17T22:00:00Z,2026-08-17T14:00:00Z,2026-08-17T22:00:00Z,Inspección histórica sintética,AUTH-H064,QC-H064,,delivered
WO-H065,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-005,V-005,Q-H065,,T-001,B-001,Servicio histórico sintético,2026-08-17T11:00:00Z,2026-08-17T01:00:00Z,2026-08-17T11:00:00Z,Inspección histórica sintética,AUTH-H065,QC-H065,,delivered
WO-H066,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-006,V-006,Q-H066,,T-002,B-002,Servicio histórico sintético,2026-08-17T00:00:00Z,2026-08-16T12:00:00Z,2026-08-17T00:00:00Z,Inspección histórica sintética,AUTH-H066,QC-H066,,delivered
WO-H067,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-007,V-007,Q-H067,,T-003,B-003,Servicio histórico sintético,2026-08-16T13:00:00Z,2026-08-15T23:00:00Z,2026-08-16T13:00:00Z,Inspección histórica sintética,AUTH-H067,QC-H067,,delivered
WO-H068,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-008,V-008,Q-H068,,T-004,B-004,Servicio histórico sintético,2026-08-16T02:00:00Z,2026-08-15T10:00:00Z,2026-08-16T02:00:00Z,Inspección histórica sintética,AUTH-H068,QC-H068,,delivered
WO-H069,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-009,Q-H069,CT-001,T-001,B-001,Servicio histórico sintético,2026-08-15T15:00:00Z,2026-08-14T21:00:00Z,2026-08-15T15:00:00Z,Inspección histórica sintética,AUTH-H069,QC-H069,,delivered
WO-H070,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-010,Q-H070,CT-001,T-002,B-002,Servicio histórico sintético,2026-08-14T14:00:00Z,2026-08-14T08:00:00Z,2026-08-14T14:00:00Z,Inspección histórica sintética,AUTH-H070,QC-H070,,delivered
WO-H071,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-011,Q-H071,CT-002,T-003,B-003,Servicio histórico sintético,2026-08-14T03:00:00Z,2026-08-13T19:00:00Z,2026-08-14T03:00:00Z,Inspección histórica sintética,AUTH-H071,QC-H071,,delivered
WO-H072,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-012,Q-H072,CT-002,T-004,B-004,Servicio histórico sintético,2026-08-15T12:00:00Z,2026-08-13T06:00:00Z,2026-08-15T12:00:00Z,Inspección histórica sintética,AUTH-H072,QC-H072,,delivered
WO-H073,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-001,V-001,Q-H073,,T-001,B-001,Servicio histórico sintético,2026-08-13T05:00:00Z,2026-08-12T17:00:00Z,2026-08-13T05:00:00Z,Inspección histórica sintética,AUTH-H073,QC-H073,,delivered
WO-H074,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-002,V-002,Q-H074,,T-002,B-002,Servicio histórico sintético,2026-08-12T18:00:00Z,2026-08-12T04:00:00Z,2026-08-12T18:00:00Z,Inspección histórica sintética,AUTH-H074,QC-H074,,delivered
WO-H075,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-003,V-003,Q-H075,,T-003,B-003,Servicio histórico sintético,2026-08-12T07:00:00Z,2026-08-11T15:00:00Z,2026-08-12T07:00:00Z,Inspección histórica sintética,AUTH-H075,QC-H075,,delivered
WO-H076,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-004,V-004,Q-H076,,T-004,B-004,Servicio histórico sintético,2026-08-11T20:00:00Z,2026-08-11T02:00:00Z,2026-08-11T20:00:00Z,Inspección histórica sintética,AUTH-H076,QC-H076,,delivered
WO-H077,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-005,V-005,Q-H077,,T-001,B-001,Servicio histórico sintético,2026-08-10T19:00:00Z,2026-08-10T13:00:00Z,2026-08-10T19:00:00Z,Inspección histórica sintética,AUTH-H077,QC-H077,,delivered
WO-H078,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-006,V-006,Q-H078,,T-002,B-002,Servicio histórico sintético,2026-08-10T08:00:00Z,2026-08-10T00:00:00Z,2026-08-10T08:00:00Z,Inspección histórica sintética,AUTH-H078,QC-H078,,delivered
WO-H079,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-007,V-007,Q-H079,,T-003,B-003,Servicio histórico sintético,2026-08-09T21:00:00Z,2026-08-09T11:00:00Z,2026-08-09T21:00:00Z,Inspección histórica sintética,AUTH-H079,QC-H079,,delivered
WO-H080,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-008,V-008,Q-H080,,T-004,B-004,Servicio histórico sintético,2026-08-09T10:00:00Z,2026-08-08T22:00:00Z,2026-08-09T10:00:00Z,Inspección histórica sintética,AUTH-H080,QC-H080,,delivered
WO-H081,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-009,Q-H081,CT-001,T-001,B-001,Servicio histórico sintético,2026-08-11T00:00:00Z,2026-08-08T09:00:00Z,2026-08-11T00:00:00Z,Inspección histórica sintética,AUTH-H081,QC-H081,,delivered
WO-H082,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-010,Q-H082,CT-001,T-002,B-002,Servicio histórico sintético,2026-08-08T12:00:00Z,2026-08-07T20:00:00Z,2026-08-08T12:00:00Z,Inspección histórica sintética,AUTH-H082,QC-H082,,delivered
WO-H083,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-011,Q-H083,CT-002,T-003,B-003,Servicio histórico sintético,2026-08-08T01:00:00Z,2026-08-07T07:00:00Z,2026-08-08T01:00:00Z,Inspección histórica sintética,AUTH-H083,QC-H083,,delivered
WO-H084,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-012,Q-H084,CT-002,T-004,B-004,Servicio histórico sintético,2026-08-07T00:00:00Z,2026-08-06T18:00:00Z,2026-08-07T00:00:00Z,Inspección histórica sintética,AUTH-H084,QC-H084,,delivered
