work_order_id,customer_id,segment,vehicle_id,status,opened_at,completed_at,cycle_hours,history_available,waiting_parts_hours,in_service_hours,rework_observed,contract_id,sla_status,invoiced_cents,paid_cents,receivable_cents
WO-H026,C-002,particular,V-002,delivered,2026-09-07T04:00:00Z,2026-09-07T20:00:00Z,16.0,1,0.0,2.286,0,,not_applicable,115000,115000,0
WO-H027,C-003,particular,V-003,delivered,2026-09-06T15:00:00Z,2026-09-09T00:00:00Z,57.0,1,0.0,8.143,0,,not_applicable,127500,63750,63750
WO-H028,C-004,particular,V-004,delivered,2026-09-06T02:00:00Z,2026-09-06T08:00:00Z,6.0,1,0.0,0.857,0,,not_applicable,140000,140000,0
WO-H029,C-005,particular,V-005,delivered,2026-09-05T13:00:00Z,2026-09-05T21:00:00Z,8.0,1,0.0,1.143,0,,not_applicable,152500,152500,0
WO-H030,C-006,particular,V-006,delivered,2026-09-05T00:00:00Z,2026-09-05T10:00:00Z,10.0,1,0.909,1.818,1,,not_applicable,165000,82500,82500
WO-H031,C-007,particular,V-007,delivered,2026-09-04T11:00:00Z,2026-09-04T23:00:00Z,12.0,1,0.0,1.714,0,,not_applicable,177500,177500,0
WO-H032,C-008,particular,V-008,delivered,2026-09-03T22:00:00Z,2026-09-04T12:00:00Z,14.0,1,0.0,2.0,0,,not_applicable,190000,190000,0
WO-H033,C-009,fleet,V-009,delivered,2026-09-03T09:00:00Z,2026-09-04T01:00:00Z,16.0,1,0.0,2.286,0,CT-001,met,65000,32500,32500
WO-H034,C-009,fleet,V-010,delivered,2026-09-02T20:00:00Z,2026-09-03T14:00:00Z,18.0,1,0.0,2.571,0,CT-001,met,77500,77500,0
WO-H035,C-010,fleet,V-011,delivered,2026-09-02T07:00:00Z,2026-09-02T13:00:00Z,6.0,1,0.0,0.857,0,CT-002,unknown,90000,90000,0
WO-H036,C-010,fleet,V-012,delivered,2026-09-01T18:00:00Z,2026-09-04T00:00:00Z,54.0,1,0.0,7.714,0,CT-002,unknown,102500,51250,51250
WO-H037,C-001,particular,V-001,delivered,2026-09-01T05:00:00Z,2026-09-01T15:00:00Z,10.0,1,0.0,1.429,0,,not_applicable,115000,115000,0
WO-H038,C-002,particular,V-002,delivered,2026-08-31T16:00:00Z,2026-09-01T04:00:00Z,12.0,1,0.0,1.714,0,,not_applicable,127500,127500,0
WO-H039,C-003,particular,V-003,delivered,2026-08-31T03:00:00Z,2026-08-31T17:00:00Z,14.0,1,0.0,2.0,0,,not_applicable,140000,70000,70000
WO-H040,C-004,particular,V-004,delivered,2026-08-30T14:00:00Z,2026-08-31T06:00:00Z,16.0,1,1.455,2.909,1,,not_applicable,152500,152500,0
WO-H041,C-005,particular,V-005,delivered,2026-08-30T01:00:00Z,2026-08-30T19:00:00Z,18.0,1,0.0,2.571,0,,not_applicable,165000,165000,0
WO-H042,C-006,particular,V-006,delivered,2026-08-29T12:00:00Z,2026-08-29T18:00:00Z,6.0,1,0.0,0.857,0,,not_applicable,177500,88750,88750
WO-H043,C-007,particular,V-007,delivered,2026-08-28T23:00:00Z,2026-08-29T07:00:00Z,8.0,1,0.0,1.143,0,,not_applicable,190000,190000,0
WO-H044,C-008,particular,V-008,delivered,2026-08-28T10:00:00Z,2026-08-28T20:00:00Z,10.0,1,0.0,1.429,0,,not_applicable,65000,65000,0
WO-H045,C-009,fleet,V-009,delivered,2026-08-27T21:00:00Z,2026-08-30T12:00:00Z,63.0,1,0.0,9.0,0,CT-001,breached,77500,38750,38750
WO-H046,C-009,fleet,V-010,delivered,2026-08-27T08:00:00Z,2026-08-27T22:00:00Z,14.0,1,0.0,2.0,0,CT-001,met,90000,90000,0
WO-H047,C-010,fleet,V-011,delivered,2026-08-26T19:00:00Z,2026-08-27T11:00:00Z,16.0,1,0.0,2.286,0,CT-002,unknown,102500,102500,0
WO-H048,C-010,fleet,V-012,delivered,2026-08-26T06:00:00Z,2026-08-27T00:00:00Z,18.0,1,0.0,2.571,0,CT-002,unknown,115000,57500,57500
WO-H049,C-001,particular,V-001,delivered,2026-08-25T17:00:00Z,2026-08-25T23:00:00Z,6.0,1,0.0,0.857,0,,not_applicable,127500,127500,0
WO-H050,C-002,particular,V-002,delivered,2026-08-25T04:00:00Z,2026-08-25T12:00:00Z,8.0,1,0.727,1.455,1,,not_applicable,140000,140000,0
WO-H051,C-003,particular,V-003,delivered,2026-08-24T15:00:00Z,2026-08-25T01:00:00Z,10.0,1,0.0,1.429,0,,not_applicable,152500,76250,76250
WO-H052,C-004,particular,V-004,delivered,2026-08-24T02:00:00Z,2026-08-24T14:00:00Z,12.0,1,0.0,1.714,0,,not_applicable,165000,165000,0
WO-H053,C-005,particular,V-005,delivered,2026-08-23T13:00:00Z,2026-08-24T03:00:00Z,14.0,1,0.0,2.0,0,,not_applicable,177500,177500,0
WO-H054,C-006,particular,V-006,delivered,2026-08-23T00:00:00Z,2026-08-25T12:00:00Z,60.0,1,0.0,8.571,0,,not_applicable,190000,95000,95000
WO-H055,C-007,particular,V-007,delivered,2026-08-22T11:00:00Z,2026-08-23T05:00:00Z,18.0,1,0.0,2.571,0,,not_applicable,65000,65000,0
WO-H056,C-008,particular,V-008,delivered,2026-08-21T22:00:00Z,2026-08-22T04:00:00Z,6.0,1,0.0,0.857,0,,not_applicable,77500,77500,0
WO-H057,C-009,fleet,V-009,delivered,2026-08-21T09:00:00Z,2026-08-21T17:00:00Z,8.0,1,0.0,1.143,0,CT-001,met,90000,45000,45000
WO-H058,C-009,fleet,V-010,delivered,2026-08-20T20:00:00Z,2026-08-21T06:00:00Z,10.0,1,0.0,1.429,0,CT-001,met,102500,102500,0
WO-H059,C-010,fleet,V-011,delivered,2026-08-20T07:00:00Z,2026-08-20T19:00:00Z,12.0,1,0.0,1.714,0,CT-002,unknown,115000,115000,0
WO-H060,C-010,fleet,V-012,delivered,2026-08-19T18:00:00Z,2026-08-20T08:00:00Z,14.0,1,1.273,2.545,1,CT-002,unknown,127500,63750,63750
WO-H061,C-001,particular,V-001,delivered,2026-08-19T05:00:00Z,2026-08-19T21:00:00Z,16.0,1,0.0,2.286,0,,not_applicable,140000,140000,0
WO-H062,C-002,particular,V-002,delivered,2026-08-18T16:00:00Z,2026-08-19T10:00:00Z,18.0,1,0.0,2.571,0,,not_applicable,152500,152500,0
WO-H063,C-003,particular,V-003,delivered,2026-08-18T03:00:00Z,2026-08-20T12:00:00Z,57.0,1,0.0,8.143,0,,not_applicable,165000,82500,82500
WO-H064,C-004,particular,V-004,delivered,2026-08-17T14:00:00Z,2026-08-17T22:00:00Z,8.0,1,0.0,1.143,0,,not_applicable,177500,177500,0
WO-H065,C-005,particular,V-005,delivered,2026-08-17T01:00:00Z,2026-08-17T11:00:00Z,10.0,1,0.0,1.429,0,,not_applicable,190000,190000,0
WO-H066,C-006,particular,V-006,delivered,2026-08-16T12:00:00Z,2026-08-17T00:00:00Z,12.0,1,0.0,1.714,0,,not_applicable,65000,32500,32500
WO-H067,C-007,particular,V-007,delivered,2026-08-15T23:00:00Z,2026-08-16T13:00:00Z,14.0,1,0.0,2.0,0,,not_applicable,77500,77500,0
WO-H068,C-008,particular,V-008,delivered,2026-08-15T10:00:00Z,2026-08-16T02:00:00Z,16.0,1,0.0,2.286,0,,not_applicable,90000,90000,0
WO-H069,C-009,fleet,V-009,delivered,2026-08-14T21:00:00Z,2026-08-15T15:00:00Z,18.0,1,0.0,2.571,0,CT-001,met,102500,51250,51250
WO-H070,C-009,fleet,V-010,delivered,2026-08-14T08:00:00Z,2026-08-14T14:00:00Z,6.0,1,0.545,1.091,1,CT-001,met,115000,115000,0
WO-H071,C-010,fleet,V-011,delivered,2026-08-13T19:00:00Z,2026-08-14T03:00:00Z,8.0,1,0.0,1.143,0,CT-002,unknown,127500,127500,0
WO-H072,C-010,fleet,V-012,delivered,2026-08-13T06:00:00Z,2026-08-15T12:00:00Z,54.0,1,0.0,7.714,0,CT-002,unknown,140000,70000,70000
WO-H073,C-001,particular,V-001,delivered,2026-08-12T17:00:00Z,2026-08-13T05:00:00Z,12.0,1,0.0,1.714,0,,not_applicable,152500,152500,0
WO-H074,C-002,particular,V-002,delivered,2026-08-12T04:00:00Z,2026-08-12T18:00:00Z,14.0,1,0.0,2.0,0,,not_applicable,165000,165000,0
WO-H075,C-003,particular,V-003,delivered,2026-08-11T15:00:00Z,2026-08-12T07:00:00Z,16.0,1,0.0,2.286,0,,not_applicable,177500,88750,88750
WO-H076,C-004,particular,V-004,delivered,2026-08-11T02:00:00Z,2026-08-11T20:00:00Z,18.0,1,0.0,2.571,0,,not_applicable,190000,190000,0
WO-H077,C-005,particular,V-005,delivered,2026-08-10T13:00:00Z,2026-08-10T19:00:00Z,6.0,1,0.0,0.857,0,,not_applicable,65000,65000,0
WO-H078,C-006,particular,V-006,delivered,2026-08-10T00:00:00Z,2026-08-10T08:00:00Z,8.0,1,0.0,1.143,0,,not_applicable,77500,38750,38750
WO-H079,C-007,particular,V-007,delivered,2026-08-09T11:00:00Z,2026-08-09T21:00:00Z,10.0,1,0.0,1.429,0,,not_applicable,90000,90000,0
WO-H080,C-008,particular,V-008,delivered,2026-08-08T22:00:00Z,2026-08-09T10:00:00Z,12.0,1,1.091,2.182,1,,not_applicable,102500,102500,0
WO-H081,C-009,fleet,V-009,delivered,2026-08-08T09:00:00Z,2026-08-11T00:00:00Z,63.0,1,0.0,9.0,0,CT-001,breached,115000,57500,57500
WO-H082,C-009,fleet,V-010,delivered,2026-08-07T20:00:00Z,2026-08-08T12:00:00Z,16.0,1,0.0,2.286,0,CT-001,met,127500,127500,0
WO-H083,C-010,fleet,V-011,delivered,2026-08-07T07:00:00Z,2026-08-08T01:00:00Z,18.0,1,0.0,2.571,0,CT-002,unknown,140000,140000,0
WO-H084,C-010,fleet,V-012,delivered,2026-08-06T18:00:00Z,2026-08-07T00:00:00Z,6.0,1,0.0,0.857,0,CT-002,unknown,152500,76250,76250
WO-H085,C-001,particular,V-001,delivered,2026-08-06T05:00:00Z,2026-08-06T13:00:00Z,8.0,1,0.0,1.143,0,,not_applicable,165000,165000,0
WO-H086,C-002,particular,V-002,delivered,2026-08-05T16:00:00Z,2026-08-06T02:00:00Z,10.0,1,0.0,1.429,0,,not_applicable,177500,177500,0
WO-H087,C-003,particular,V-003,delivered,2026-08-05T03:00:00Z,2026-08-05T15:00:00Z,12.0,1,0.0,1.714,0,,not_applicable,190000,95000,95000
WO-H088,C-004,particular,V-004,delivered,2026-08-04T14:00:00Z,2026-08-05T04:00:00Z,14.0,1,0.0,2.0,0,,not_applicable,65000,65000,0
WO-H089,C-005,particular,V-005,delivered,2026-08-04T01:00:00Z,2026-08-04T17:00:00Z,16.0,1,0.0,2.286,0,,not_applicable,77500,77500,0
WO-H090,C-006,particular,V-006,delivered,2026-08-03T12:00:00Z,2026-08-06T00:00:00Z,60.0,1,5.455,10.909,1,,not_applicable,90000,45000,45000
WO-H091,C-007,particular,V-007,delivered,2026-08-02T23:00:00Z,2026-08-03T05:00:00Z,6.0,1,0.0,0.857,0,,not_applicable,102500,102500,0
WO-H092,C-008,particular,V-008,delivered,2026-08-02T10:00:00Z,2026-08-02T18:00:00Z,8.0,1,0.0,1.143,0,,not_applicable,115000,115000,0
WO-H093,C-009,fleet,V-009,delivered,2026-08-01T21:00:00Z,2026-08-02T07:00:00Z,10.0,1,0.0,1.429,0,CT-001,met,127500,63750,63750
WO-H094,C-009,fleet,V-010,delivered,2026-08-01T08:00:00Z,2026-08-01T20:00:00Z,12.0,1,0.0,1.714,0,CT-001,met,140000,140000,0
WO-H095,C-010,fleet,V-011,delivered,2026-07-31T19:00:00Z,2026-08-01T09:00:00Z,14.0,1,0.0,2.0,0,CT-002,unknown,152500,152500,0
WO-H096,C-010,fleet,V-012,delivered,2026-07-31T06:00:00Z,2026-07-31T22:00:00Z,16.0,1,0.0,2.286,0,CT-002,unknown,165000,82500,82500
WO-H097,C-001,particular,V-001,delivered,2026-07-30T17:00:00Z,2026-07-31T11:00:00Z,18.0,1,0.0,2.571,0,,not_applicable,177500,177500,0
WO-H098,C-002,particular,V-002,delivered,2026-07-30T04:00:00Z,2026-07-30T10:00:00Z,6.0,1,0.0,0.857,0,,not_applicable,190000,190000,0
WO-H099,C-003,particular,V-003,delivered,2026-07-29T15:00:00Z,2026-08-01T00:00:00Z,57.0,1,0.0,8.143,0,,not_applicable,65000,32500,32500
WO-H100,C-004,particular,V-004,delivered,2026-07-29T02:00:00Z,2026-07-29T12:00:00Z,10.0,1,0.909,1.818,1,,not_applicable,77500,77500,0
WO-H101,C-005,particular,V-005,delivered,2026-07-28T13:00:00Z,2026-07-29T01:00:00Z,12.0,1,0.0,1.714,0,,not_applicable,90000,90000,0
WO-H102,C-006,particular,V-006,delivered,2026-07-28T00:00:00Z,2026-07-28T14:00:00Z,14.0,1,0.0,2.0,0,,not_applicable,102500,51250,51250
WO-H103,C-007,particular,V-007,delivered,2026-07-27T11:00:00Z,2026-07-28T03:00:00Z,16.0,1,0.0,2.286,0,,not_applicable,115000,115000,0
WO-H104,C-008,particular,V-008,delivered,2026-07-26T22:00:00Z,2026-07-27T16:00:00Z,18.0,1,0.0,2.571,0,,not_applicable,127500,127500,0
WO-H105,C-009,fleet,V-009,delivered,2026-07-26T09:00:00Z,2026-07-26T15:00:00Z,6.0,1,0.0,0.857,0,CT-001,met,140000,70000,70000
WO-H106,C-009,fleet,V-010,delivered,2026-07-25T20:00:00Z,2026-07-26T04:00:00Z,8.0,1,0.0,1.143,0,CT-001,met,152500,152500,0
WO-H107,C-010,fleet,V-011,delivered,2026-07-25T07:00:00Z,2026-07-25T17:00:00Z,10.0,1,0.0,1.429,0,CT-002,unknown,165000,165000,0
WO-H108,C-010,fleet,V-012,delivered,2026-07-24T18:00:00Z,2026-07-27T00:00:00Z,54.0,1,0.0,7.714,0,CT-002,unknown,177500,88750,88750
WO-H109,C-001,particular,V-001,delivered,2026-07-24T05:00:00Z,2026-07-24T19:00:00Z,14.0,1,0.0,2.0,0,,not_applicable,190000,190000,0
WO-H110,C-002,particular,V-002,delivered,2026-07-23T16:00:00Z,2026-07-24T08:00:00Z,16.0,1,1.455,2.909,1,,not_applicable,65000,65000,0
WO-H111,C-003,particular,V-003,delivered,2026-07-23T03:00:00Z,2026-07-23T21:00:00Z,18.0,1,0.0,2.571,0,,not_applicable,77500,38750,38750
WO-H112,C-004,particular,V-004,delivered,2026-07-22T14:00:00Z,2026-07-22T20:00:00Z,6.0,1,0.0,0.857,0,,not_applicable,90000,90000,0
WO-H113,C-005,particular,V-005,delivered,2026-07-22T01:00:00Z,2026-07-22T09:00:00Z,8.0,1,0.0,1.143,0,,not_applicable,102500,102500,0
WO-H114,C-006,particular,V-006,delivered,2026-07-21T12:00:00Z,2026-07-21T22:00:00Z,10.0,1,0.0,1.429,0,,not_applicable,115000,57500,57500
WO-H115,C-007,particular,V-007,delivered,2026-07-20T23:00:00Z,2026-07-21T11:00:00Z,12.0,1,0.0,1.714,0,,not_applicable,127500,127500,0
WO-H116,C-008,particular,V-008,delivered,2026-07-20T10:00:00Z,2026-07-21T00:00:00Z,14.0,1,0.0,2.0,0,,not_applicable,140000,140000,0
WO-H117,C-009,fleet,V-009,delivered,2026-07-19T21:00:00Z,2026-07-22T12:00:00Z,63.0,1,0.0,9.0,0,CT-001,breached,152500,76250,76250
WO-H118,C-009,fleet,V-010,delivered,2026-07-19T08:00:00Z,2026-07-20T02:00:00Z,18.0,1,0.0,2.571,0,CT-001,met,165000,165000,0
WO-H119,C-010,fleet,V-011,delivered,2026-07-18T19:00:00Z,2026-07-19T01:00:00Z,6.0,1,0.0,0.857,0,CT-002,unknown,177500,177500,0
WO-H120,C-010,fleet,V-012,delivered,2026-07-18T06:00:00Z,2026-07-18T14:00:00Z,8.0,1,0.727,1.455,1,CT-002,unknown,190000,95000,95000
WO-H121,C-001,particular,V-001,delivered,2026-07-17T17:00:00Z,2026-07-18T03:00:00Z,10.0,1,0.0,1.429,0,,not_applicable,65000,65000,0
WO-H122,C-002,particular,V-002,delivered,2026-07-17T04:00:00Z,2026-07-17T16:00:00Z,12.0,1,0.0,1.714,0,,not_applicable,77500,77500,0
WO-H123,C-003,particular,V-003,delivered,2026-07-16T15:00:00Z,2026-07-17T05:00:00Z,14.0,1,0.0,2.0,0,,not_applicable,90000,45000,45000
WO-H124,C-004,particular,V-004,delivered,2026-07-16T02:00:00Z,2026-07-16T18:00:00Z,16.0,1,0.0,2.286,0,,not_applicable,102500,102500,0
WO-H125,C-005,particular,V-005,delivered,2026-07-15T13:00:00Z,2026-07-16T07:00:00Z,18.0,1,0.0,2.571,0,,not_applicable,115000,115000,0
WO-H126,C-006,particular,V-006,delivered,2026-07-15T00:00:00Z,2026-07-17T12:00:00Z,60.0,1,0.0,8.571,0,,not_applicable,127500,63750,63750
WO-H127,C-007,particular,V-007,delivered,2026-07-14T11:00:00Z,2026-07-14T19:00:00Z,8.0,1,0.0,1.143,0,,not_applicable,140000,140000,0
WO-H128,C-008,particular,V-008,delivered,2026-07-13T22:00:00Z,2026-07-14T08:00:00Z,10.0,1,0.0,1.429,0,,not_applicable,152500,152500,0
WO-H129,C-009,fleet,V-009,delivered,2026-07-13T09:00:00Z,2026-07-13T21:00:00Z,12.0,1,0.0,1.714,0,CT-001,met,165000,82500,82500
WO-H130,C-009,fleet,V-010,delivered,2026-07-12T20:00:00Z,2026-07-13T10:00:00Z,14.0,1,1.273,2.545,1,CT-001,met,177500,177500,0
WO-H131,C-010,fleet,V-011,delivered,2026-07-12T07:00:00Z,2026-07-12T23:00:00Z,16.0,1,0.0,2.286,0,CT-002,unknown,190000,190000,0
WO-H132,C-010,fleet,V-012,delivered,2026-07-11T18:00:00Z,2026-07-12T12:00:00Z,18.0,1,0.0,2.571,0,CT-002,unknown,65000,32500,32500
WO-H133,C-001,particular,V-001,delivered,2026-07-11T05:00:00Z,2026-07-11T11:00:00Z,6.0,1,0.0,0.857,0,,not_applicable,77500,77500,0
WO-H134,C-002,particular,V-002,delivered,2026-07-10T16:00:00Z,2026-07-11T00:00:00Z,8.0,1,0.0,1.143,0,,not_applicable,90000,90000,0
WO-H135,C-003,particular,V-003,delivered,2026-07-10T03:00:00Z,2026-07-12T12:00:00Z,57.0,1,0.0,8.143,0,,not_applicable,102500,51250,51250
WO-H136,C-004,particular,V-004,delivered,2026-07-09T14:00:00Z,2026-07-10T02:00:00Z,12.0,1,0.0,1.714,0,,not_applicable,115000,115000,0
WO-H137,C-005,particular,V-005,delivered,2026-07-09T01:00:00Z,2026-07-09T15:00:00Z,14.0,1,0.0,2.0,0,,not_applicable,127500,127500,0
WO-H138,C-006,particular,V-006,delivered,2026-07-08T12:00:00Z,2026-07-09T04:00:00Z,16.0,1,0.0,2.286,0,,not_applicable,140000,70000,70000
WO-H139,C-007,particular,V-007,delivered,2026-07-07T23:00:00Z,2026-07-08T17:00:00Z,18.0,1,0.0,2.571,0,,not_applicable,152500,152500,0
WO-H140,C-008,particular,V-008,delivered,2026-07-07T10:00:00Z,2026-07-07T16:00:00Z,6.0,1,0.545,1.091,1,,not_applicable,165000,165000,0
WO-H141,C-009,fleet,V-009,delivered,2026-07-06T21:00:00Z,2026-07-07T05:00:00Z,8.0,1,0.0,1.143,0,CT-001,met,177500,88750,88750
WO-H142,C-009,fleet,V-010,delivered,2026-07-06T08:00:00Z,2026-07-06T18:00:00Z,10.0,1,0.0,1.429,0,CT-001,met,190000,190000,0
WO-H143,C-010,fleet,V-011,delivered,2026-07-05T19:00:00Z,2026-07-06T07:00:00Z,12.0,1,0.0,1.714,0,CT-002,unknown,65000,65000,0
WO-H144,C-010,fleet,V-012,delivered,2026-07-05T06:00:00Z,2026-07-07T12:00:00Z,54.0,1,0.0,7.714,0,CT-002,unknown,77500,38750,38750
WO-H145,C-001,particular,V-001,delivered,2026-07-04T17:00:00Z,2026-07-05T09:00:00Z,16.0,1,0.0,2.286,0,,not_applicable,90000,90000,0
WO-H146,C-002,particular,V-002,delivered,2026-07-04T04:00:00Z,2026-07-04T22:00:00Z,18.0,1,0.0,2.571,0,,not_applicable,102500,102500,0
WO-H147,C-003,particular,V-003,delivered,2026-07-03T15:00:00Z,2026-07-03T21:00:00Z,6.0,1,0.0,0.857,0,,not_applicable,115000,57500,57500
WO-H148,C-004,particular,V-004,delivered,2026-07-03T02:00:00Z,2026-07-03T10:00:00Z,8.0,1,0.0,1.143,0,,not_applicable,127500,127500,0
WO-H149,C-005,particular,V-005,delivered,2026-07-02T13:00:00Z,2026-07-02T23:00:00Z,10.0,1,0.0,1.429,0,,not_applicable,140000,140000,0
WO-H150,C-006,particular,V-006,delivered,2026-07-02T00:00:00Z,2026-07-02T12:00:00Z,12.0,1,1.091,2.182,1,,not_applicable,152500,76250,76250
WO-H151,C-007,particular,V-007,delivered,2026-07-01T11:00:00Z,2026-07-02T01:00:00Z,14.0,1,0.0,2.0,0,,not_applicable,165000,165000,0
WO-H152,C-008,particular,V-008,delivered,2026-06-30T22:00:00Z,2026-07-01T14:00:00Z,16.0,1,0.0,2.286,0,,not_applicable,177500,177500,0
WO-H153,C-009,fleet,V-009,delivered,2026-06-30T09:00:00Z,2026-07-03T00:00:00Z,63.0,1,0.0,9.0,0,CT-001,breached,190000,95000,95000
WO-H154,C-009,fleet,V-010,delivered,2026-06-29T20:00:00Z,2026-06-30T02:00:00Z,6.0,1,0.0,0.857,0,CT-001,met,65000,65000,0
WO-H155,C-010,fleet,V-011,delivered,2026-06-29T07:00:00Z,2026-06-29T15:00:00Z,8.0,1,0.0,1.143,0,CT-002,unknown,77500,77500,0
WO-H156,C-010,fleet,V-012,delivered,2026-06-28T18:00:00Z,2026-06-29T04:00:00Z,10.0,1,0.0,1.429,0,CT-002,unknown,90000,45000,45000
WO-H157,C-001,particular,V-001,delivered,2026-06-28T05:00:00Z,2026-06-28T17:00:00Z,12.0,1,0.0,1.714,0,,not_applicable,102500,102500,0
WO-H158,C-002,particular,V-002,delivered,2026-06-27T16:00:00Z,2026-06-28T06:00:00Z,14.0,1,0.0,2.0,0,,not_applicable,115000,115000,0
