id,version,synthetic,created_at,updated_at,customer_id,vehicle_id,description,amount_cents,valid_until,authorization_ref,status
Q-H049,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-001,V-001,Servicio histórico sintético,127500,2026-09-08T23:00:00Z,AUTH-H049,accepted
Q-H050,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-002,V-002,Servicio histórico sintético,140000,2026-09-08T12:00:00Z,AUTH-H050,accepted
Q-H051,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-003,V-003,Servicio histórico sintético,152500,2026-09-08T01:00:00Z,AUTH-H051,accepted
Q-H052,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-004,V-004,Servicio histórico sintético,165000,2026-09-07T14:00:00Z,AUTH-H052,accepted
Q-H053,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-005,V-005,Servicio histórico sintético,177500,2026-09-07T03:00:00Z,AUTH-H053,accepted
Q-H054,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-006,V-006,Servicio histórico sintético,190000,2026-09-08T12:00:00Z,AUTH-H054,accepted
Q-H055,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-007,V-007,Servicio histórico sintético,65000,2026-09-06T05:00:00Z,AUTH-H055,accepted
Q-H056,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-008,V-008,Servicio histórico sintético,77500,2026-09-05T04:00:00Z,AUTH-H056,accepted
Q-H057,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-009,Servicio histórico sintético,90000,2026-09-04T17:00:00Z,AUTH-H057,accepted
Q-H058,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-010,Servicio histórico sintético,102500,2026-09-04T06:00:00Z,AUTH-H058,accepted
Q-H059,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-011,Servicio histórico sintético,115000,2026-09-03T19:00:00Z,AUTH-H059,accepted
Q-H060,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-012,Servicio histórico sintético,127500,2026-09-03T08:00:00Z,AUTH-H060,accepted
Q-H061,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-001,V-001,Servicio histórico sintético,140000,2026-09-02T21:00:00Z,AUTH-H061,accepted
Q-H062,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-002,V-002,Servicio histórico sintético,152500,2026-09-02T10:00:00Z,AUTH-H062,accepted
Q-H063,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-003,V-003,Servicio histórico sintético,165000,2026-09-03T12:00:00Z,AUTH-H063,accepted
Q-H064,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-004,V-004,Servicio histórico sintético,177500,2026-08-31T22:00:00Z,AUTH-H064,accepted
Q-H065,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-005,V-005,Servicio histórico sintético,190000,2026-08-31T11:00:00Z,AUTH-H065,accepted
Q-H066,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-006,V-006,Servicio histórico sintético,65000,2026-08-31T00:00:00Z,AUTH-H066,accepted
Q-H067,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-007,V-007,Servicio histórico sintético,77500,2026-08-30T13:00:00Z,AUTH-H067,accepted
Q-H068,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-008,V-008,Servicio histórico sintético,90000,2026-08-30T02:00:00Z,AUTH-H068,accepted
Q-H069,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-009,Servicio histórico sintético,102500,2026-08-29T15:00:00Z,AUTH-H069,accepted
Q-H070,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-010,Servicio histórico sintético,115000,2026-08-28T14:00:00Z,AUTH-H070,accepted
Q-H071,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-011,Servicio histórico sintético,127500,2026-08-28T03:00:00Z,AUTH-H071,accepted
Q-H072,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-012,Servicio histórico sintético,140000,2026-08-29T12:00:00Z,AUTH-H072,accepted
Q-H073,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-001,V-001,Servicio histórico sintético,152500,2026-08-27T05:00:00Z,AUTH-H073,accepted
Q-H074,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-002,V-002,Servicio histórico sintético,165000,2026-08-26T18:00:00Z,AUTH-H074,accepted
Q-H075,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-003,V-003,Servicio histórico sintético,177500,2026-08-26T07:00:00Z,AUTH-H075,accepted
Q-H076,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-004,V-004,Servicio histórico sintético,190000,2026-08-25T20:00:00Z,AUTH-H076,accepted
Q-H077,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-005,V-005,Servicio histórico sintético,65000,2026-08-24T19:00:00Z,AUTH-H077,accepted
Q-H078,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-006,V-006,Servicio histórico sintético,77500,2026-08-24T08:00:00Z,AUTH-H078,accepted
Q-H079,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-007,V-007,Servicio histórico sintético,90000,2026-08-23T21:00:00Z,AUTH-H079,accepted
Q-H080,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-008,V-008,Servicio histórico sintético,102500,2026-08-23T10:00:00Z,AUTH-H080,accepted
Q-H081,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-009,Servicio histórico sintético,115000,2026-08-25T00:00:00Z,AUTH-H081,accepted
Q-H082,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-010,Servicio histórico sintético,127500,2026-08-22T12:00:00Z,AUTH-H082,accepted
Q-H083,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-011,Servicio histórico sintético,140000,2026-08-22T01:00:00Z,AUTH-H083,accepted
Q-H084,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-012,Servicio histórico sintético,152500,2026-08-21T00:00:00Z,AUTH-H084,accepted
Q-H085,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-001,V-001,Servicio histórico sintético,165000,2026-08-20T13:00:00Z,AUTH-H085,accepted
Q-H086,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-002,V-002,Servicio histórico sintético,177500,2026-08-20T02:00:00Z,AUTH-H086,accepted
Q-H087,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-003,V-003,Servicio histórico sintético,190000,2026-08-19T15:00:00Z,AUTH-H087,accepted
Q-H088,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-004,V-004,Servicio histórico sintético,65000,2026-08-19T04:00:00Z,AUTH-H088,accepted
Q-H089,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-005,V-005,Servicio histórico sintético,77500,2026-08-18T17:00:00Z,AUTH-H089,accepted
Q-H090,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-006,V-006,Servicio histórico sintético,90000,2026-08-20T00:00:00Z,AUTH-H090,accepted
Q-H091,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-007,V-007,Servicio histórico sintético,102500,2026-08-17T05:00:00Z,AUTH-H091,accepted
Q-H092,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-008,V-008,Servicio histórico sintético,115000,2026-08-16T18:00:00Z,AUTH-H092,accepted
Q-H093,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-009,Servicio histórico sintético,127500,2026-08-16T07:00:00Z,AUTH-H093,accepted
Q-H094,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-010,Servicio histórico sintético,140000,2026-08-15T20:00:00Z,AUTH-H094,accepted
Q-H095,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-011,Servicio histórico sintético,152500,2026-08-15T09:00:00Z,AUTH-H095,accepted
Q-H096,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-012,Servicio histórico sintético,165000,2026-08-14T22:00:00Z,AUTH-H096,accepted
Q-H097,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-001,V-001,Servicio histórico sintético,177500,2026-08-14T11:00:00Z,AUTH-H097,accepted
Q-H098,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-002,V-002,Servicio histórico sintético,190000,2026-08-13T10:00:00Z,AUTH-H098,accepted
Q-H099,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-003,V-003,Servicio histórico sintético,65000,2026-08-15T00:00:00Z,AUTH-H099,accepted
Q-H100,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-004,V-004,Servicio histórico sintético,77500,2026-08-12T12:00:00Z,AUTH-H100,accepted
Q-H101,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-005,V-005,Servicio histórico sintético,90000,2026-08-12T01:00:00Z,AUTH-H101,accepted
Q-H102,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-006,V-006,Servicio histórico sintético,102500,2026-08-11T14:00:00Z,AUTH-H102,accepted
Q-H103,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-007,V-007,Servicio histórico sintético,115000,2026-08-11T03:00:00Z,AUTH-H103,accepted
Q-H104,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-008,V-008,Servicio histórico sintético,127500,2026-08-10T16:00:00Z,AUTH-H104,accepted
Q-H105,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-009,Servicio histórico sintético,140000,2026-08-09T15:00:00Z,AUTH-H105,accepted
Q-H106,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-010,Servicio histórico sintético,152500,2026-08-09T04:00:00Z,AUTH-H106,accepted
Q-H107,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-011,Servicio histórico sintético,165000,2026-08-08T17:00:00Z,AUTH-H107,accepted
Q-H108,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-012,Servicio histórico sintético,177500,2026-08-10T00:00:00Z,AUTH-H108,accepted
Q-H109,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-001,V-001,Servicio histórico sintético,190000,2026-08-07T19:00:00Z,AUTH-H109,accepted
Q-H110,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-002,V-002,Servicio histórico sintético,65000,2026-08-07T08:00:00Z,AUTH-H110,accepted
Q-H111,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-003,V-003,Servicio histórico sintético,77500,2026-08-06T21:00:00Z,AUTH-H111,accepted
Q-H112,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-004,V-004,Servicio histórico sintético,90000,2026-08-05T20:00:00Z,AUTH-H112,accepted
Q-H113,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-005,V-005,Servicio histórico sintético,102500,2026-08-05T09:00:00Z,AUTH-H113,accepted
Q-H114,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-006,V-006,Servicio histórico sintético,115000,2026-08-04T22:00:00Z,AUTH-H114,accepted
Q-H115,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-007,V-007,Servicio histórico sintético,127500,2026-08-04T11:00:00Z,AUTH-H115,accepted
Q-H116,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-008,V-008,Servicio histórico sintético,140000,2026-08-04T00:00:00Z,AUTH-H116,accepted
Q-H117,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-009,Servicio histórico sintético,152500,2026-08-05T12:00:00Z,AUTH-H117,accepted
Q-H118,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-010,Servicio histórico sintético,165000,2026-08-03T02:00:00Z,AUTH-H118,accepted
Q-H119,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-011,Servicio histórico sintético,177500,2026-08-02T01:00:00Z,AUTH-H119,accepted
Q-H120,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-012,Servicio histórico sintético,190000,2026-08-01T14:00:00Z,AUTH-H120,accepted
Q-H121,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-001,V-001,Servicio histórico sintético,65000,2026-08-01T03:00:00Z,AUTH-H121,accepted
Q-H122,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-002,V-002,Servicio histórico sintético,77500,2026-07-31T16:00:00Z,AUTH-H122,accepted
Q-H123,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-003,V-003,Servicio histórico sintético,90000,2026-07-31T05:00:00Z,AUTH-H123,accepted
Q-H124,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-004,V-004,Servicio histórico sintético,102500,2026-07-30T18:00:00Z,AUTH-H124,accepted
Q-H125,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-005,V-005,Servicio histórico sintético,115000,2026-07-30T07:00:00Z,AUTH-H125,accepted
Q-H126,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-006,V-006,Servicio histórico sintético,127500,2026-07-31T12:00:00Z,AUTH-H126,accepted
Q-H127,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-007,V-007,Servicio histórico sintético,140000,2026-07-28T19:00:00Z,AUTH-H127,accepted
Q-H128,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-008,V-008,Servicio histórico sintético,152500,2026-07-28T08:00:00Z,AUTH-H128,accepted
Q-H129,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-009,Servicio histórico sintético,165000,2026-07-27T21:00:00Z,AUTH-H129,accepted
Q-H130,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-010,Servicio histórico sintético,177500,2026-07-27T10:00:00Z,AUTH-H130,accepted
Q-H131,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-011,Servicio histórico sintético,190000,2026-07-26T23:00:00Z,AUTH-H131,accepted
Q-H132,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-012,Servicio histórico sintético,65000,2026-07-26T12:00:00Z,AUTH-H132,accepted
Q-H133,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-001,V-001,Servicio histórico sintético,77500,2026-07-25T11:00:00Z,AUTH-H133,accepted
Q-H134,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-002,V-002,Servicio histórico sintético,90000,2026-07-25T00:00:00Z,AUTH-H134,accepted
Q-H135,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-003,V-003,Servicio histórico sintético,102500,2026-07-26T12:00:00Z,AUTH-H135,accepted
Q-H136,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-004,V-004,Servicio histórico sintético,115000,2026-07-24T02:00:00Z,AUTH-H136,accepted
Q-H137,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-005,V-005,Servicio histórico sintético,127500,2026-07-23T15:00:00Z,AUTH-H137,accepted
Q-H138,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-006,V-006,Servicio histórico sintético,140000,2026-07-23T04:00:00Z,AUTH-H138,accepted
Q-H139,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-007,V-007,Servicio histórico sintético,152500,2026-07-22T17:00:00Z,AUTH-H139,accepted
Q-H140,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-008,V-008,Servicio histórico sintético,165000,2026-07-21T16:00:00Z,AUTH-H140,accepted
Q-H141,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-009,Servicio histórico sintético,177500,2026-07-21T05:00:00Z,AUTH-H141,accepted
Q-H142,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-010,Servicio histórico sintético,190000,2026-07-20T18:00:00Z,AUTH-H142,accepted
Q-H143,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-011,Servicio histórico sintético,65000,2026-07-20T07:00:00Z,AUTH-H143,accepted
Q-H144,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-012,Servicio histórico sintético,77500,2026-07-21T12:00:00Z,AUTH-H144,accepted
Q-H145,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-001,V-001,Servicio histórico sintético,90000,2026-07-19T09:00:00Z,AUTH-H145,accepted
Q-H146,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-002,V-002,Servicio histórico sintético,102500,2026-07-18T22:00:00Z,AUTH-H146,accepted
