event_id,entity_type,entity_id,from_state,to_state,at,actor,process_id,synthetic
EV-H003-02,work_orders,WO-H003,inspected,authorized,2026-09-19T18:25:42.857143Z,Operador demo,PROC-H003,1
EV-H003-03,work_orders,WO-H003,authorized,scheduled,2026-09-19T20:08:34.285714Z,Operador demo,PROC-H003,1
EV-H003-04,work_orders,WO-H003,scheduled,in_service,2026-09-19T21:51:25.714286Z,Operador demo,PROC-H003,1
EV-H003-05,work_orders,WO-H003,in_service,quality_check,2026-09-19T23:34:17.142857Z,Operador demo,PROC-H003,1
EV-H003-06,work_orders,WO-H003,quality_check,ready,2026-09-20T01:17:08.571429Z,Operador demo,PROC-H003,1
EV-H003-07,work_orders,WO-H003,ready,delivered,2026-09-20T03:00:00Z,Operador demo,PROC-H003,1
EV-H004-00,work_orders,WO-H004,initial,received,2026-09-19T02:00:00Z,Operador demo,PROC-H004,1
EV-H004-01,work_orders,WO-H004,received,inspected,2026-09-19T04:00:00Z,Operador demo,PROC-H004,1
EV-H004-02,work_orders,WO-H004,inspected,authorized,2026-09-19T06:00:00Z,Operador demo,PROC-H004,1
EV-H004-03,work_orders,WO-H004,authorized,scheduled,2026-09-19T08:00:00Z,Operador demo,PROC-H004,1
EV-H004-04,work_orders,WO-H004,scheduled,in_service,2026-09-19T10:00:00Z,Operador demo,PROC-H004,1
EV-H004-05,work_orders,WO-H004,in_service,quality_check,2026-09-19T12:00:00Z,Operador demo,PROC-H004,1
EV-H004-06,work_orders,WO-H004,quality_check,ready,2026-09-19T14:00:00Z,Operador demo,PROC-H004,1
EV-H004-07,work_orders,WO-H004,ready,delivered,2026-09-19T16:00:00Z,Operador demo,PROC-H004,1
EV-H005-00,work_orders,WO-H005,initial,received,2026-09-18T13:00:00Z,Operador demo,PROC-H005,1
EV-H005-01,work_orders,WO-H005,received,inspected,2026-09-18T15:17:08.571429Z,Operador demo,PROC-H005,1
EV-H005-02,work_orders,WO-H005,inspected,authorized,2026-09-18T17:34:17.142857Z,Operador demo,PROC-H005,1
EV-H005-03,work_orders,WO-H005,authorized,scheduled,2026-09-18T19:51:25.714286Z,Operador demo,PROC-H005,1
EV-H005-04,work_orders,WO-H005,scheduled,in_service,2026-09-18T22:08:34.285714Z,Operador demo,PROC-H005,1
EV-H005-05,work_orders,WO-H005,in_service,quality_check,2026-09-19T00:25:42.857143Z,Operador demo,PROC-H005,1
EV-H005-06,work_orders,WO-H005,quality_check,ready,2026-09-19T02:42:51.428571Z,Operador demo,PROC-H005,1
EV-H005-07,work_orders,WO-H005,ready,delivered,2026-09-19T05:00:00Z,Operador demo,PROC-H005,1
EV-H006-00,work_orders,WO-H006,initial,received,2026-09-18T00:00:00Z,Operador demo,PROC-H006,1
EV-H006-01,work_orders,WO-H006,received,inspected,2026-09-18T02:34:17.142857Z,Operador demo,PROC-H006,1
EV-H006-02,work_orders,WO-H006,inspected,authorized,2026-09-18T05:08:34.285714Z,Operador demo,PROC-H006,1
EV-H006-03,work_orders,WO-H006,authorized,scheduled,2026-09-18T07:42:51.428571Z,Operador demo,PROC-H006,1
EV-H006-04,work_orders,WO-H006,scheduled,in_service,2026-09-18T10:17:08.571429Z,Operador demo,PROC-H006,1
EV-H006-05,work_orders,WO-H006,in_service,quality_check,2026-09-18T12:51:25.714286Z,Operador demo,PROC-H006,1
EV-H006-06,work_orders,WO-H006,quality_check,ready,2026-09-18T15:25:42.857143Z,Operador demo,PROC-H006,1
EV-H006-07,work_orders,WO-H006,ready,delivered,2026-09-18T18:00:00Z,Operador demo,PROC-H006,1
EV-H007-00,work_orders,WO-H007,initial,received,2026-09-17T11:00:00Z,Operador demo,PROC-H007,1
EV-H007-01,work_orders,WO-H007,received,inspected,2026-09-17T11:51:25.714286Z,Operador demo,PROC-H007,1
EV-H007-02,work_orders,WO-H007,inspected,authorized,2026-09-17T12:42:51.428571Z,Operador demo,PROC-H007,1
EV-H007-03,work_orders,WO-H007,authorized,scheduled,2026-09-17T13:34:17.142857Z,Operador demo,PROC-H007,1
EV-H007-04,work_orders,WO-H007,scheduled,in_service,2026-09-17T14:25:42.857143Z,Operador demo,PROC-H007,1
EV-H007-05,work_orders,WO-H007,in_service,quality_check,2026-09-17T15:17:08.571429Z,Operador demo,PROC-H007,1
EV-H007-06,work_orders,WO-H007,quality_check,ready,2026-09-17T16:08:34.285714Z,Operador demo,PROC-H007,1
EV-H007-07,work_orders,WO-H007,ready,delivered,2026-09-17T17:00:00Z,Operador demo,PROC-H007,1
EV-H008-00,work_orders,WO-H008,initial,received,2026-09-16T22:00:00Z,Operador demo,PROC-H008,1
EV-H008-01,work_orders,WO-H008,received,inspected,2026-09-16T23:08:34.285714Z,Operador demo,PROC-H008,1
EV-H008-02,work_orders,WO-H008,inspected,authorized,2026-09-17T00:17:08.571429Z,Operador demo,PROC-H008,1
EV-H008-03,work_orders,WO-H008,authorized,scheduled,2026-09-17T01:25:42.857143Z,Operador demo,PROC-H008,1
EV-H008-04,work_orders,WO-H008,scheduled,in_service,2026-09-17T02:34:17.142857Z,Operador demo,PROC-H008,1
EV-H008-05,work_orders,WO-H008,in_service,quality_check,2026-09-17T03:42:51.428571Z,Operador demo,PROC-H008,1
EV-H008-06,work_orders,WO-H008,quality_check,ready,2026-09-17T04:51:25.714286Z,Operador demo,PROC-H008,1
EV-H008-07,work_orders,WO-H008,ready,delivered,2026-09-17T06:00:00Z,Operador demo,PROC-H008,1
EV-H009-00,work_orders,WO-H009,initial,received,2026-09-16T09:00:00Z,Operador demo,PROC-H009,1
EV-H009-01,work_orders,WO-H009,received,inspected,2026-09-16T18:00:00Z,Operador demo,PROC-H009,1
EV-H009-02,work_orders,WO-H009,inspected,authorized,2026-09-17T03:00:00Z,Operador demo,PROC-H009,1
EV-H009-03,work_orders,WO-H009,authorized,scheduled,2026-09-17T12:00:00Z,Operador demo,PROC-H009,1
EV-H009-04,work_orders,WO-H009,scheduled,in_service,2026-09-17T21:00:00Z,Operador demo,PROC-H009,1
EV-H009-05,work_orders,WO-H009,in_service,quality_check,2026-09-18T06:00:00Z,Operador demo,PROC-H009,1
EV-H009-06,work_orders,WO-H009,quality_check,ready,2026-09-18T15:00:00Z,Operador demo,PROC-H009,1
EV-H009-07,work_orders,WO-H009,ready,delivered,2026-09-19T00:00:00Z,Operador demo,PROC-H009,1
EV-H010-00,work_orders,WO-H010,initial,received,2026-09-15T20:00:00Z,Operador demo,PROC-H010,1
EV-H010-01,work_orders,WO-H010,received,inspected,2026-09-15T21:05:27.272727Z,Operador demo,PROC-H010,1
EV-H010-02,work_orders,WO-H010,inspected,authorized,2026-09-15T22:10:54.545455Z,Operador demo,PROC-H010,1
EV-H010-03,work_orders,WO-H010,authorized,waiting_parts,2026-09-15T23:16:21.818182Z,Operador demo,PROC-H010,1
EV-H010-04,work_orders,WO-H010,waiting_parts,scheduled,2026-09-16T00:21:49.090909Z,Operador demo,PROC-H010,1
EV-H010-05,work_orders,WO-H010,scheduled,in_service,2026-09-16T01:27:16.363636Z,Operador demo,PROC-H010,1
EV-H010-06,work_orders,WO-H010,in_service,quality_check,2026-09-16T02:32:43.636364Z,Operador demo,PROC-H010,1
EV-H010-07,work_orders,WO-H010,quality_check,rework,2026-09-16T03:38:10.909091Z,Operador demo,PROC-H010,1
EV-H010-08,work_orders,WO-H010,rework,in_service,2026-09-16T04:43:38.181818Z,Operador demo,PROC-H010,1
EV-H010-09,work_orders,WO-H010,in_service,quality_check,2026-09-16T05:49:05.454545Z,Operador demo,PROC-H010,1
EV-H010-10,work_orders,WO-H010,quality_check,ready,2026-09-16T06:54:32.727273Z,Operador demo,PROC-H010,1
EV-H010-11,work_orders,WO-H010,ready,delivered,2026-09-16T08:00:00Z,Operador demo,PROC-H010,1
EV-H011-00,work_orders,WO-H011,initial,received,2026-09-15T07:00:00Z,Operador demo,PROC-H011,1
EV-H011-01,work_orders,WO-H011,received,inspected,2026-09-15T09:00:00Z,Operador demo,PROC-H011,1
EV-H011-02,work_orders,WO-H011,inspected,authorized,2026-09-15T11:00:00Z,Operador demo,PROC-H011,1
EV-H011-03,work_orders,WO-H011,authorized,scheduled,2026-09-15T13:00:00Z,Operador demo,PROC-H011,1
EV-H011-04,work_orders,WO-H011,scheduled,in_service,2026-09-15T15:00:00Z,Operador demo,PROC-H011,1
EV-H011-05,work_orders,WO-H011,in_service,quality_check,2026-09-15T17:00:00Z,Operador demo,PROC-H011,1
EV-H011-06,work_orders,WO-H011,quality_check,ready,2026-09-15T19:00:00Z,Operador demo,PROC-H011,1
EV-H011-07,work_orders,WO-H011,ready,delivered,2026-09-15T21:00:00Z,Operador demo,PROC-H011,1
EV-H012-00,work_orders,WO-H012,initial,received,2026-09-14T18:00:00Z,Operador demo,PROC-H012,1
EV-H012-01,work_orders,WO-H012,received,inspected,2026-09-14T20:17:08.571429Z,Operador demo,PROC-H012,1
EV-H012-02,work_orders,WO-H012,inspected,authorized,2026-09-14T22:34:17.142857Z,Operador demo,PROC-H012,1
EV-H012-03,work_orders,WO-H012,authorized,scheduled,2026-09-15T00:51:25.714286Z,Operador demo,PROC-H012,1
EV-H012-04,work_orders,WO-H012,scheduled,in_service,2026-09-15T03:08:34.285714Z,Operador demo,PROC-H012,1
EV-H012-05,work_orders,WO-H012,in_service,quality_check,2026-09-15T05:25:42.857143Z,Operador demo,PROC-H012,1
EV-H012-06,work_orders,WO-H012,quality_check,ready,2026-09-15T07:42:51.428571Z,Operador demo,PROC-H012,1
EV-H012-07,work_orders,WO-H012,ready,delivered,2026-09-15T10:00:00Z,Operador demo,PROC-H012,1
EV-H013-00,work_orders,WO-H013,initial,received,2026-09-14T05:00:00Z,Operador demo,PROC-H013,1
EV-H013-01,work_orders,WO-H013,received,inspected,2026-09-14T07:34:17.142857Z,Operador demo,PROC-H013,1
EV-H013-02,work_orders,WO-H013,inspected,authorized,2026-09-14T10:08:34.285714Z,Operador demo,PROC-H013,1
EV-H013-03,work_orders,WO-H013,authorized,scheduled,2026-09-14T12:42:51.428571Z,Operador demo,PROC-H013,1
EV-H013-04,work_orders,WO-H013,scheduled,in_service,2026-09-14T15:17:08.571429Z,Operador demo,PROC-H013,1
EV-H013-05,work_orders,WO-H013,in_service,quality_check,2026-09-14T17:51:25.714286Z,Operador demo,PROC-H013,1
EV-H013-06,work_orders,WO-H013,quality_check,ready,2026-09-14T20:25:42.857143Z,Operador demo,PROC-H013,1
EV-H013-07,work_orders,WO-H013,ready,delivered,2026-09-14T23:00:00Z,Operador demo,PROC-H013,1
EV-H014-00,work_orders,WO-H014,initial,received,2026-09-13T16:00:00Z,Operador demo,PROC-H014,1
EV-H014-01,work_orders,WO-H014,received,inspected,2026-09-13T16:51:25.714286Z,Operador demo,PROC-H014,1
EV-H014-02,work_orders,WO-H014,inspected,authorized,2026-09-13T17:42:51.428571Z,Operador demo,PROC-H014,1
EV-H014-03,work_orders,WO-H014,authorized,scheduled,2026-09-13T18:34:17.142857Z,Operador demo,PROC-H014,1
EV-H014-04,work_orders,WO-H014,scheduled,in_service,2026-09-13T19:25:42.857143Z,Operador demo,PROC-H014,1
EV-H014-05,work_orders,WO-H014,in_service,quality_check,2026-09-13T20:17:08.571429Z,Operador demo,PROC-H014,1
EV-H014-06,work_orders,WO-H014,quality_check,ready,2026-09-13T21:08:34.285714Z,Operador demo,PROC-H014,1
EV-H014-07,work_orders,WO-H014,ready,delivered,2026-09-13T22:00:00Z,Operador demo,PROC-H014,1
EV-H015-00,work_orders,WO-H015,initial,received,2026-09-13T03:00:00Z,Operador demo,PROC-H015,1
EV-H015-01,work_orders,WO-H015,received,inspected,2026-09-13T04:08:34.285714Z,Operador demo,PROC-H015,1
EV-H015-02,work_orders,WO-H015,inspected,authorized,2026-09-13T05:17:08.571429Z,Operador demo,PROC-H015,1
EV-H015-03,work_orders,WO-H015,authorized,scheduled,2026-09-13T06:25:42.857143Z,Operador demo,PROC-H015,1
EV-H015-04,work_orders,WO-H015,scheduled,in_service,2026-09-13T07:34:17.142857Z,Operador demo,PROC-H015,1
EV-H015-05,work_orders,WO-H015,in_service,quality_check,2026-09-13T08:42:51.428571Z,Operador demo,PROC-H015,1
EV-H015-06,work_orders,WO-H015,quality_check,ready,2026-09-13T09:51:25.714286Z,Operador demo,PROC-H015,1
EV-H015-07,work_orders,WO-H015,ready,delivered,2026-09-13T11:00:00Z,Operador demo,PROC-H015,1
EV-H016-00,work_orders,WO-H016,initial,received,2026-09-12T14:00:00Z,Operador demo,PROC-H016,1
EV-H016-01,work_orders,WO-H016,received,inspected,2026-09-12T15:25:42.857143Z,Operador demo,PROC-H016,1
EV-H016-02,work_orders,WO-H016,inspected,authorized,2026-09-12T16:51:25.714286Z,Operador demo,PROC-H016,1
EV-H016-03,work_orders,WO-H016,authorized,scheduled,2026-09-12T18:17:08.571429Z,Operador demo,PROC-H016,1
EV-H016-04,work_orders,WO-H016,scheduled,in_service,2026-09-12T19:42:51.428571Z,Operador demo,PROC-H016,1
EV-H016-05,work_orders,WO-H016,in_service,quality_check,2026-09-12T21:08:34.285714Z,Operador demo,PROC-H016,1
EV-H016-06,work_orders,WO-H016,quality_check,ready,2026-09-12T22:34:17.142857Z,Operador demo,PROC-H016,1
EV-H016-07,work_orders,WO-H016,ready,delivered,2026-09-13T00:00:00Z,Operador demo,PROC-H016,1
EV-H017-00,work_orders,WO-H017,initial,received,2026-09-12T01:00:00Z,Operador demo,PROC-H017,1
EV-H017-01,work_orders,WO-H017,received,inspected,2026-09-12T02:42:51.428571Z,Operador demo,PROC-H017,1
EV-H017-02,work_orders,WO-H017,inspected,authorized,2026-09-12T04:25:42.857143Z,Operador demo,PROC-H017,1
EV-H017-03,work_orders,WO-H017,authorized,scheduled,2026-09-12T06:08:34.285714Z,Operador demo,PROC-H017,1
EV-H017-04,work_orders,WO-H017,scheduled,in_service,2026-09-12T07:51:25.714286Z,Operador demo,PROC-H017,1
EV-H017-05,work_orders,WO-H017,in_service,quality_check,2026-09-12T09:34:17.142857Z,Operador demo,PROC-H017,1
EV-H017-06,work_orders,WO-H017,quality_check,ready,2026-09-12T11:17:08.571429Z,Operador demo,PROC-H017,1
EV-H017-07,work_orders,WO-H017,ready,delivered,2026-09-12T13:00:00Z,Operador demo,PROC-H017,1
EV-H018-00,work_orders,WO-H018,initial,received,2026-09-11T12:00:00Z,Operador demo,PROC-H018,1
EV-H018-01,work_orders,WO-H018,received,inspected,2026-09-11T20:34:17.142857Z,Operador demo,PROC-H018,1
EV-H018-02,work_orders,WO-H018,inspected,authorized,2026-09-12T05:08:34.285714Z,Operador demo,PROC-H018,1
EV-H018-03,work_orders,WO-H018,authorized,scheduled,2026-09-12T13:42:51.428571Z,Operador demo,PROC-H018,1
EV-H018-04,work_orders,WO-H018,scheduled,in_service,2026-09-12T22:17:08.571429Z,Operador demo,PROC-H018,1
EV-H018-05,work_orders,WO-H018,in_service,quality_check,2026-09-13T06:51:25.714286Z,Operador demo,PROC-H018,1
EV-H018-06,work_orders,WO-H018,quality_check,ready,2026-09-13T15:25:42.857143Z,Operador demo,PROC-H018,1
EV-H018-07,work_orders,WO-H018,ready,delivered,2026-09-14T00:00:00Z,Operador demo,PROC-H018,1
EV-H019-00,work_orders,WO-H019,initial,received,2026-09-10T23:00:00Z,Operador demo,PROC-H019,1
EV-H019-01,work_orders,WO-H019,received,inspected,2026-09-11T01:17:08.571429Z,Operador demo,PROC-H019,1
EV-H019-02,work_orders,WO-H019,inspected,authorized,2026-09-11T03:34:17.142857Z,Operador demo,PROC-H019,1
EV-H019-03,work_orders,WO-H019,authorized,scheduled,2026-09-11T05:51:25.714286Z,Operador demo,PROC-H019,1
EV-H019-04,work_orders,WO-H019,scheduled,in_service,2026-09-11T08:08:34.285714Z,Operador demo,PROC-H019,1
EV-H019-05,work_orders,WO-H019,in_service,quality_check,2026-09-11T10:25:42.857143Z,Operador demo,PROC-H019,1
EV-H019-06,work_orders,WO-H019,quality_check,ready,2026-09-11T12:42:51.428571Z,Operador demo,PROC-H019,1
EV-H019-07,work_orders,WO-H019,ready,delivered,2026-09-11T15:00:00Z,Operador demo,PROC-H019,1
EV-H020-00,work_orders,WO-H020,initial,received,2026-09-10T10:00:00Z,Operador demo,PROC-H020,1
EV-H020-01,work_orders,WO-H020,received,inspected,2026-09-10T11:38:10.909091Z,Operador demo,PROC-H020,1
EV-H020-02,work_orders,WO-H020,inspected,authorized,2026-09-10T13:16:21.818182Z,Operador demo,PROC-H020,1
EV-H020-03,work_orders,WO-H020,authorized,waiting_parts,2026-09-10T14:54:32.727273Z,Operador demo,PROC-H020,1
EV-H020-04,work_orders,WO-H020,waiting_parts,scheduled,2026-09-10T16:32:43.636364Z,Operador demo,PROC-H020,1
EV-H020-05,work_orders,WO-H020,scheduled,in_service,2026-09-10T18:10:54.545455Z,Operador demo,PROC-H020,1
EV-H020-06,work_orders,WO-H020,in_service,quality_check,2026-09-10T19:49:05.454545Z,Operador demo,PROC-H020,1
EV-H020-07,work_orders,WO-H020,quality_check,rework,2026-09-10T21:27:16.363636Z,Operador demo,PROC-H020,1
EV-H020-08,work_orders,WO-H020,rework,in_service,2026-09-10T23:05:27.272727Z,Operador demo,PROC-H020,1
EV-H020-09,work_orders,WO-H020,in_service,quality_check,2026-09-11T00:43:38.181818Z,Operador demo,PROC-H020,1
EV-H020-10,work_orders,WO-H020,quality_check,ready,2026-09-11T02:21:49.090909Z,Operador demo,PROC-H020,1
EV-H020-11,work_orders,WO-H020,ready,delivered,2026-09-11T04:00:00Z,Operador demo,PROC-H020,1
EV-H021-00,work_orders,WO-H021,initial,received,2026-09-09T21:00:00Z,Operador demo,PROC-H021,1
EV-H021-01,work_orders,WO-H021,received,inspected,2026-09-09T21:51:25.714286Z,Operador demo,PROC-H021,1
EV-H021-02,work_orders,WO-H021,inspected,authorized,2026-09-09T22:42:51.428571Z,Operador demo,PROC-H021,1
EV-H021-03,work_orders,WO-H021,authorized,scheduled,2026-09-09T23:34:17.142857Z,Operador demo,PROC-H021,1
EV-H021-04,work_orders,WO-H021,scheduled,in_service,2026-09-10T00:25:42.857143Z,Operador demo,PROC-H021,1
EV-H021-05,work_orders,WO-H021,in_service,quality_check,2026-09-10T01:17:08.571429Z,Operador demo,PROC-H021,1
EV-H021-06,work_orders,WO-H021,quality_check,ready,2026-09-10T02:08:34.285714Z,Operador demo,PROC-H021,1
EV-H021-07,work_orders,WO-H021,ready,delivered,2026-09-10T03:00:00Z,Operador demo,PROC-H021,1
EV-H022-00,work_orders,WO-H022,initial,received,2026-09-09T08:00:00Z,Operador demo,PROC-H022,1
EV-H022-01,work_orders,WO-H022,received,inspected,2026-09-09T09:08:34.285714Z,Operador demo,PROC-H022,1
EV-H022-02,work_orders,WO-H022,inspected,authorized,2026-09-09T10:17:08.571429Z,Operador demo,PROC-H022,1
EV-H022-03,work_orders,WO-H022,authorized,scheduled,2026-09-09T11:25:42.857143Z,Operador demo,PROC-H022,1
EV-H022-04,work_orders,WO-H022,scheduled,in_service,2026-09-09T12:34:17.142857Z,Operador demo,PROC-H022,1
EV-H022-05,work_orders,WO-H022,in_service,quality_check,2026-09-09T13:42:51.428571Z,Operador demo,PROC-H022,1
EV-H022-06,work_orders,WO-H022,quality_check,ready,2026-09-09T14:51:25.714286Z,Operador demo,PROC-H022,1
EV-H022-07,work_orders,WO-H022,ready,delivered,2026-09-09T16:00:00Z,Operador demo,PROC-H022,1
EV-H023-00,work_orders,WO-H023,initial,received,2026-09-08T19:00:00Z,Operador demo,PROC-H023,1
EV-H023-01,work_orders,WO-H023,received,inspected,2026-09-08T20:25:42.857143Z,Operador demo,PROC-H023,1
EV-H023-02,work_orders,WO-H023,inspected,authorized,2026-09-08T21:51:25.714286Z,Operador demo,PROC-H023,1
EV-H023-03,work_orders,WO-H023,authorized,scheduled,2026-09-08T23:17:08.571429Z,Operador demo,PROC-H023,1
EV-H023-04,work_orders,WO-H023,scheduled,in_service,2026-09-09T00:42:51.428571Z,Operador demo,PROC-H023,1
EV-H023-05,work_orders,WO-H023,in_service,quality_check,2026-09-09T02:08:34.285714Z,Operador demo,PROC-H023,1
EV-H023-06,work_orders,WO-H023,quality_check,ready,2026-09-09T03:34:17.142857Z,Operador demo,PROC-H023,1
EV-H023-07,work_orders,WO-H023,ready,delivered,2026-09-09T05:00:00Z,Operador demo,PROC-H023,1
EV-H024-00,work_orders,WO-H024,initial,received,2026-09-08T06:00:00Z,Operador demo,PROC-H024,1
EV-H024-01,work_orders,WO-H024,received,inspected,2026-09-08T07:42:51.428571Z,Operador demo,PROC-H024,1
EV-H024-02,work_orders,WO-H024,inspected,authorized,2026-09-08T09:25:42.857143Z,Operador demo,PROC-H024,1
EV-H024-03,work_orders,WO-H024,authorized,scheduled,2026-09-08T11:08:34.285714Z,Operador demo,PROC-H024,1
EV-H024-04,work_orders,WO-H024,scheduled,in_service,2026-09-08T12:51:25.714286Z,Operador demo,PROC-H024,1
EV-H024-05,work_orders,WO-H024,in_service,quality_check,2026-09-08T14:34:17.142857Z,Operador demo,PROC-H024,1
EV-H024-06,work_orders,WO-H024,quality_check,ready,2026-09-08T16:17:08.571429Z,Operador demo,PROC-H024,1
EV-H024-07,work_orders,WO-H024,ready,delivered,2026-09-08T18:00:00Z,Operador demo,PROC-H024,1
EV-H025-00,work_orders,WO-H025,initial,received,2026-09-07T17:00:00Z,Operador demo,PROC-H025,1
EV-H025-01,work_orders,WO-H025,received,inspected,2026-09-07T19:00:00Z,Operador demo,PROC-H025,1
EV-H025-02,work_orders,WO-H025,inspected,authorized,2026-09-07T21:00:00Z,Operador demo,PROC-H025,1
EV-H025-03,work_orders,WO-H025,authorized,scheduled,2026-09-07T23:00:00Z,Operador demo,PROC-H025,1
EV-H025-04,work_orders,WO-H025,scheduled,in_service,2026-09-08T01:00:00Z,Operador demo,PROC-H025,1
EV-H025-05,work_orders,WO-H025,in_service,quality_check,2026-09-08T03:00:00Z,Operador demo,PROC-H025,1
EV-H025-06,work_orders,WO-H025,quality_check,ready,2026-09-08T05:00:00Z,Operador demo,PROC-H025,1
EV-H025-07,work_orders,WO-H025,ready,delivered,2026-09-08T07:00:00Z,Operador demo,PROC-H025,1
EV-H026-00,work_orders,WO-H026,initial,received,2026-09-07T04:00:00Z,Operador demo,PROC-H026,1
EV-H026-01,work_orders,WO-H026,received,inspected,2026-09-07T06:17:08.571429Z,Operador demo,PROC-H026,1
EV-H026-02,work_orders,WO-H026,inspected,authorized,2026-09-07T08:34:17.142857Z,Operador demo,PROC-H026,1
EV-H026-03,work_orders,WO-H026,authorized,scheduled,2026-09-07T10:51:25.714286Z,Operador demo,PROC-H026,1
EV-H026-04,work_orders,WO-H026,scheduled,in_service,2026-09-07T13:08:34.285714Z,Operador demo,PROC-H026,1
EV-H026-05,work_orders,WO-H026,in_service,quality_check,2026-09-07T15:25:42.857143Z,Operador demo,PROC-H026,1
EV-H026-06,work_orders,WO-H026,quality_check,ready,2026-09-07T17:42:51.428571Z,Operador demo,PROC-H026,1
EV-H026-07,work_orders,WO-H026,ready,delivered,2026-09-07T20:00:00Z,Operador demo,PROC-H026,1
EV-H027-00,work_orders,WO-H027,initial,received,2026-09-06T15:00:00Z,Operador demo,PROC-H027,1
EV-H027-01,work_orders,WO-H027,received,inspected,2026-09-06T23:08:34.285714Z,Operador demo,PROC-H027,1
EV-H027-02,work_orders,WO-H027,inspected,authorized,2026-09-07T07:17:08.571429Z,Operador demo,PROC-H027,1
EV-H027-03,work_orders,WO-H027,authorized,scheduled,2026-09-07T15:25:42.857143Z,Operador demo,PROC-H027,1
EV-H027-04,work_orders,WO-H027,scheduled,in_service,2026-09-07T23:34:17.142857Z,Operador demo,PROC-H027,1
EV-H027-05,work_orders,WO-H027,in_service,quality_check,2026-09-08T07:42:51.428571Z,Operador demo,PROC-H027,1
EV-H027-06,work_orders,WO-H027,quality_check,ready,2026-09-08T15:51:25.714286Z,Operador demo,PROC-H027,1
EV-H027-07,work_orders,WO-H027,ready,delivered,2026-09-09T00:00:00Z,Operador demo,PROC-H027,1
EV-H028-00,work_orders,WO-H028,initial,received,2026-09-06T02:00:00Z,Operador demo,PROC-H028,1
EV-H028-01,work_orders,WO-H028,received,inspected,2026-09-06T02:51:25.714286Z,Operador demo,PROC-H028,1
EV-H028-02,work_orders,WO-H028,inspected,authorized,2026-09-06T03:42:51.428571Z,Operador demo,PROC-H028,1
EV-H028-03,work_orders,WO-H028,authorized,scheduled,2026-09-06T04:34:17.142857Z,Operador demo,PROC-H028,1
EV-H028-04,work_orders,WO-H028,scheduled,in_service,2026-09-06T05:25:42.857143Z,Operador demo,PROC-H028,1
EV-H028-05,work_orders,WO-H028,in_service,quality_check,2026-09-06T06:17:08.571429Z,Operador demo,PROC-H028,1
EV-H028-06,work_orders,WO-H028,quality_check,ready,2026-09-06T07:08:34.285714Z,Operador demo,PROC-H028,1
EV-H028-07,work_orders,WO-H028,ready,delivered,2026-09-06T08:00:00Z,Operador demo,PROC-H028,1
EV-H029-00,work_orders,WO-H029,initial,received,2026-09-05T13:00:00Z,Operador demo,PROC-H029,1
EV-H029-01,work_orders,WO-H029,received,inspected,2026-09-05T14:08:34.285714Z,Operador demo,PROC-H029,1
EV-H029-02,work_orders,WO-H029,inspected,authorized,2026-09-05T15:17:08.571429Z,Operador demo,PROC-H029,1
EV-H029-03,work_orders,WO-H029,authorized,scheduled,2026-09-05T16:25:42.857143Z,Operador demo,PROC-H029,1
EV-H029-04,work_orders,WO-H029,scheduled,in_service,2026-09-05T17:34:17.142857Z,Operador demo,PROC-H029,1
