invoice_id,customer_id,segment,due_at,invoiced_cents,paid_cents,balance_cents,days_overdue,aging_bucket
INV-H120,C-010,fleet,2026-07-25T14:00:00Z,190000,95000,95000,58,31-60
INV-H121,C-001,particular,2026-07-25T03:00:00Z,65000,65000,0,58,31-60
INV-H122,C-002,particular,2026-07-24T16:00:00Z,77500,77500,0,59,31-60
INV-H123,C-003,particular,2026-07-24T05:00:00Z,90000,45000,45000,59,31-60
INV-H124,C-004,particular,2026-07-23T18:00:00Z,102500,102500,0,60,31-60
INV-H125,C-005,particular,2026-07-23T07:00:00Z,115000,115000,0,60,31-60
INV-H126,C-006,particular,2026-07-24T12:00:00Z,127500,63750,63750,59,31-60
INV-H127,C-007,particular,2026-07-21T19:00:00Z,140000,140000,0,61,61-90
INV-H128,C-008,particular,2026-07-21T08:00:00Z,152500,152500,0,62,61-90
INV-H129,C-009,fleet,2026-07-20T21:00:00Z,165000,82500,82500,62,61-90
INV-H130,C-009,fleet,2026-07-20T10:00:00Z,177500,177500,0,63,61-90
INV-H131,C-010,fleet,2026-07-19T23:00:00Z,190000,190000,0,63,61-90
INV-H132,C-010,fleet,2026-07-19T12:00:00Z,65000,32500,32500,64,61-90
INV-H133,C-001,particular,2026-07-18T11:00:00Z,77500,77500,0,65,61-90
INV-H134,C-002,particular,2026-07-18T00:00:00Z,90000,90000,0,65,61-90
INV-H135,C-003,particular,2026-07-19T12:00:00Z,102500,51250,51250,64,61-90
INV-H136,C-004,particular,2026-07-17T02:00:00Z,115000,115000,0,66,61-90
INV-H137,C-005,particular,2026-07-16T15:00:00Z,127500,127500,0,67,61-90
INV-H138,C-006,particular,2026-07-16T04:00:00Z,140000,70000,70000,67,61-90
INV-H139,C-007,particular,2026-07-15T17:00:00Z,152500,152500,0,68,61-90
INV-H140,C-008,particular,2026-07-14T16:00:00Z,165000,165000,0,69,61-90
INV-H141,C-009,fleet,2026-07-14T05:00:00Z,177500,88750,88750,69,61-90
INV-H142,C-009,fleet,2026-07-13T18:00:00Z,190000,190000,0,70,61-90
INV-H143,C-010,fleet,2026-07-13T07:00:00Z,65000,65000,0,70,61-90
INV-H144,C-010,fleet,2026-07-14T12:00:00Z,77500,38750,38750,69,61-90
INV-H145,C-001,particular,2026-07-12T09:00:00Z,90000,90000,0,71,61-90
INV-H146,C-002,particular,2026-07-11T22:00:00Z,102500,102500,0,71,61-90
INV-H147,C-003,particular,2026-07-10T21:00:00Z,115000,57500,57500,72,61-90
INV-H148,C-004,particular,2026-07-10T10:00:00Z,127500,127500,0,73,61-90
INV-H149,C-005,particular,2026-07-09T23:00:00Z,140000,140000,0,73,61-90
INV-H150,C-006,particular,2026-07-09T12:00:00Z,152500,76250,76250,74,61-90
INV-H151,C-007,particular,2026-07-09T01:00:00Z,165000,165000,0,74,61-90
INV-H152,C-008,particular,2026-07-08T14:00:00Z,177500,177500,0,75,61-90
INV-H153,C-009,fleet,2026-07-10T00:00:00Z,190000,95000,95000,73,61-90
INV-H154,C-009,fleet,2026-07-07T02:00:00Z,65000,65000,0,76,61-90
INV-H155,C-010,fleet,2026-07-06T15:00:00Z,77500,77500,0,77,61-90
INV-H156,C-010,fleet,2026-07-06T04:00:00Z,90000,45000,45000,77,61-90
INV-H157,C-001,particular,2026-07-05T17:00:00Z,102500,102500,0,78,61-90
INV-H158,C-002,particular,2026-07-05T06:00:00Z,115000,115000,0,78,61-90
INV-H159,C-003,particular,2026-07-04T19:00:00Z,127500,63750,63750,78,61-90
INV-H160,C-004,particular,2026-07-04T08:00:00Z,140000,140000,0,79,61-90
